,league,season,jersey number,player name,team name,games played,minutes,points,points per player possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",rebounds,offensive rebounds,defensive rebounds,assists,steals,turnovers,blocks,fouls,fouls drawn,plus/minus,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player possessions,team points with player,offensive rating,opponent possessions played,opponent points with player,defensive rating,net rating,assists to turnovers,steals to turnovers,draw foul rate,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,"uncontested field goals, %",contested field goals made,contested field goals,"contested field goals, %",opponent field goals made,opponent field goals attempted,"opponent field goals, %",transitions made,transitions attempted,"transition attacks, %",catch and shoot made,catch and shoot attempted,"catch and shoot shots made, %",catch and drive made,catch and drive attempted,"catch and drive shots made, %",screens off made,screens off attempted,"screens off, %",posts up made,posts up attempted,"post up, %",isolations made,isolations attempted,"isolation, %",hand off made,hand off attempted,"hand off, %",cuts made,cuts attempted,"cuts, %",pnr handlers made,pnr handlers attempted,"pr handler, %",pnr rollers made,pnr rollers attempted,"pr roller, %",pnp made,pnp attempted,"pick-n-pops, %",opp transition shots made,opp transition shots,"opponent transition shots made, %",opp catch and shoot shots made,opp catch and shoot shots,"opp catch and shoot shots made, %",opp catch and drive shots made,opp catch and drive shots,"opp catch and drive shots made, %",opp screens off shots made,opp screens off shots,"opponent screens off shots made, %",opp post up shots made,opp post up shots,"opponent post up shots made, %",opp isolations shots made,opp isolations shots,"opponent isolation shots made, %",opp hand off shots made,opp hand off shots,"opponent hand off shots made, %",opp cuts shots made,opp cuts shots,"opponent cuts shots made, %",opp pick-n-roll shots made,opp pick-n-roll shots,"opponent pick-n-roll shots made, %",opp pick-n-pop shots made,opp pick-n-pop shots,"opponent pick-n-pop shots made, %",drives made,drives with shot,"drives, %",right drives made,right drives,"right drives made, %",left drives made,left drives,"left drives made, %",opp drives shots made,opp drives shots,"opponent drives shots made, %"
1476,Basket League,2022-2023,3,A.J. Davis,AS Apollon Patras,22,33.4,9,0.79,3.2,9,0.37,0.86,3.3,0.26,2,2.9,0.69,5.7,1.14,4.6,2.1,0.82,1.73,0.579564822690618,2.3,3.4,-7,2.4,5.5,0.43,5.1,0.249659571703074,0.358626507291081,68,58,86,67,65,97,-11,1.21,0.47,1.06,0.46,0.42,0.41,1.36,0.3,2.6,7,0.36,4.2,8,0.5,0.45,0.86,0.52,0.59,2.1,0.29,0.59,1.59,0.37,0.768339480054048,0.76153366597352,0.42,0.292278788171934,0.598694452010137,0.25,1.31768577699136,1.40048971435047,0.35,1.26506122430501,0.811603200272838,0.75,0.0860187522117645,0.273601395704273,0.56,0.510902094241401,0.338800802557766,0.46,0,0.05,0,0.811545087511282,1.09859166448623,0.16,0.73,1,0.73,0.82,2.4,0.35,0.27,0.86,0.31,0.41,0.68,0.6,0.32,0.59,0.54,0.09,0.5,0.18,0.05,0.19,0.26,0.59,0.77,0.77,0.0426359137494977,0.0431622993981776,0.64,0.637483079031715,0.969602795532148,0.28,1.46410723328274,1.26503199436976,0.59,1.19414311020857,1.00139277926195,0.58,1.56786029325141,1.42561310010203,0.59,0.45,1.41,0.32
3928,Liga Endesa,2022-2023,4,A.J. Slaughter,Dreamland Gran Canaria,36,22.6666666666667,10,0.97,3.6,9,0.4,2.1,5.3,0.39,1.03,1.39,0.74,1.47,0.31,1.17,2.5,0.83,1.11,-1.10702526747221,2.1,1.39,1.81,1.5,3.5,0.42,5.9,-0.200004059599989,-0.298613120103765,47,47,102,46,46,99,3,2.2,0.75,0.39,0.54,0.52,0.58,1.14,0.51,2.9,8,0.38,2.9,6,0.46,0.25,0.64,0.39,0.5,1.25,0.4,0.25,0.58,0.43,1.23117681751391,1.33054964757248,0.36,-1.12888676436093,-0.911413408432558,0,0.428178069806382,0.546633335707366,0.31,1.4810698242428,1.68441433088949,0.4,-1.01996387363581,-1.1368470023226,0.75,1.23826445829496,1.24168949748384,0.4,0,0,0,0.990320773149274,0.423927125636078,0.73,0.47,0.72,0.65,0.75,1.53,0.49,0.17,0.36,0.47,0.25,0.58,0.43,0.06,0.25,0.24,0.17,0.25,0.68,0.14,0.42,0.33,0.22,0.33,0.67,-0.81511857294597,-1.15806025348677,1,-1.25901584881217,-0.815056527385485,0,0.317885588278117,0.192146878112668,0.51,0.175628782842133,-0.244757496057416,0.68,0.575611648431326,0.634380843460147,0.43,0.36,0.81,0.44
3503,BETCLIC Elite - LNB Pro A,2022-2023,25,Aamir Simms,Paris Basketball,30,29.1833333333333,13,1.07,4.7,9,0.52,1.93,4.3,0.45,1.9,2.3,0.83,6,1.47,4.9,2.7,0.67,2.4,0.685442293455266,2.9,2.1,0.4,2.8,4.6,0.6,7,1.29182783624243,1.27278765596284,65,67,103,63,66,105,-1.53,1.14,0.28,0.45,0.66,0.63,0.7,1.1,0.64,3.6,8,0.48,4.6,10,0.46,1.07,1.43,0.75,1.2,2.5,0.48,0.53,0.97,0.55,-0.358340298819662,-1.03778379314503,1,1.23816142913612,1.22097947441691,0.48,-1.22531833329194,0.0137179038768463,0,-0.130141060613953,-0.457350286150666,0.43,-0.065455760998402,0.0235763266859871,0.61,-1.15800297083035,-0.671914842325741,0,0.4,0.63,0.63,1.22833214410608,1.40032486347237,0.29,0.53,0.9,0.59,0.7,1.63,0.43,0.47,0.87,0.54,0.2,0.47,0.43,0.27,0.77,0.35,0.3,0.83,0.36,0.2,0.53,0.38,0.57,0.77,0.74,0.784606556633324,1.01443531946934,0.5,0.388438114125135,1.28728818486675,0.16,0.618642127210809,0.559874543134287,0.49,0.667461656750518,0.962289320993325,0.36,0.657055020200962,0.00733058020112037,0.82,0.73,1.33,0.55
5344,BETCLIC Elite - LNB Pro A,2020-2021,1,Aaron Best,Boulazac Basket,29,26.1333333333333,11,0.96,3.7,9,0.42,1.55,4.6,0.34,1.9,2.6,0.75,2.7,1.07,1.59,1.72,0.66,1.41,-0.386497182964841,2.6,2.9,-5.8,2.1,4.1,0.52,4.2,-1.06811418501148,-1.10814254330239,55,51,92,55,57,103,-11,1.22,0.47,0.79,0.55,0.51,0.34,1.1,0.31,3.1,7,0.42,3.3,7,0.45,0.93,1.41,0.66,0.72,2.5,0.29,0.07,0.31,0.23,1.66206108726427,1.55263625367534,0.54,0.108665780211831,0.30307235700474,0.29,1.0169821465268,0.660473266487522,0.59,1.09561006596349,0.956683067136243,0.45,-0.698316795084634,-0.44740976475123,0.48,0.740764565855463,0.833909825362068,0.3,0,0,0,0.555912963837621,0.0709725129276862,0.43,0.59,0.97,0.61,0.76,1.9,0.4,0.28,0.59,0.47,0.31,0.69,0.45,0.21,0.52,0.4,0.17,0.41,0.41,0.1,0.24,0.42,0.24,0.31,0.77,-1.47199571531022,-1.68363874759512,0,0.388438114125135,-0.361210743245176,0.7,0.57700523357513,0.668942009552203,0.43,-1.15266503229702,-0.699987093480535,0.18,1.3027513253683,1.31891731036722,0.47,0.66,1.07,0.62
1643,FIBA Champions League,2022-2023,1,Aaron Broussard,S.L. Benfica,11,29.5166666666667,12,0.91,4.6,11,0.44,1.73,4.5,0.39,0.82,1.36,0.6,3.1,1.36,1.73,3.2,1.64,1.82,-1.50956636800542,1.36,1.73,0.55,2.9,6,0.48,7,-0.918183965924659,-1.72114326403644,61,57,94,60,57,95,-1.09,1.75,0.9,0.37,0.53,0.52,0.55,1.09,0.5,3.8,9,0.42,4.1,9,0.45,0.64,0.91,0.7,0.55,1.55,0.35,0.36,1.09,0.33,1.65763419174709,1.47959977932212,0.6,0.973967096599021,0.962795771379789,0.42,1.09253181196537,1.31319798087941,0.27,1.40496686561948,1.48764049424156,0.44,0.266120884151232,0.122434261978853,0.75,1.15614096538293,1.05240676583467,0.5,0,0,0,-0.994152239132661,-1.22809794875283,0,0.55,0.91,0.6,0.82,2.9,0.28,0.36,0.36,1,0.09,0.36,0.25,0.18,0.55,0.33,0.27,0.64,0.42,0.27,0.64,0.42,0.27,0.45,0.6,-1.47199571531022,-1.68363874759512,0,-1.25901584881217,-1.72067474924653,0,0.904826781801732,1.26503199436976,0.35,1.09141803005082,1.25400814565542,0.41,0.657055020200962,1.22402338300713,0.27,0.64,1,0.64
6135,aggregated,2022-2023,42,Aaron Doornekamp,aggregated,52,22.5051282051282,6.363791728381,1.10866355246667,2.13279252592002,5.20456875925715,0.40546542098667,1.70549960123049,4.44094793209525,0.381370627777145,0.730473966047625,0.84546542098667,0.85910333827048,3.8,0.650017090121909,3.09543124074285,1.46360373703999,1,0.44,0.586379826777671,2.33181041358095,1.23091375185143,8,0.420473966047624,0.750439785803805,0.580034180243819,3.4908624814857,0.634881101056142,0.665184856263816,44.9543124074285,47.3181041358095,105.727583456762,44.9543124074285,39.636208271619,87.6818958641905,18.0456875925715,3.3181041358095,2.3,0.596344992594281,0.599560214196195,0.569560214196195,0.36455166913524,0.81,0.44818958641905,1.68641335308192,4.3363791728381,0.388646462344765,2.83181041358095,7,0.40636208271619,0.263198131480005,0.385008545060955,0.662758345676199,1.17321522160191,2.86818958641905,0.408646462344765,0.114991454939045,0.28998290987809,0.382267289506665,1.17790883176731,1.27511125526805,0.36455166913524,-0.266194122213168,-0.532998617450295,0.511421898142873,-0.734576357782327,-1.03588680428452,0.340947932095249,-0.377086834476751,-0.553931551051012,0.340947932095249,-1.1904315989248,-1.30052662616075,0.511421898142873,-0.853922056239542,-0.795246873305045,0.259120428392389,0,0.0222672895066651,0,0.740149948505828,0.667252175752533,0.307241654323801,0.441370627777145,0.791353537655235,0.5663791728381,0.544060612965706,1.91360373703999,0.281353537655235,0.394991454939045,0.62727583456762,0.629982909878091,0.0750085450609548,0.263198131480005,0.225025635182864,0.28365500740572,0.670473966047624,0.403655007405719,0.101353537655235,0.328155406175231,0.292267289506665,0.0586293722228552,0.21453457901333,0.246801868519995,0.305922296912385,0.744111883331434,0.401370627777145,-0.279849342496046,0.349618593729648,0.335905206790475,0.903415458564176,0.603076683303794,0.624957274695226,-1.18282908339785,-1.21256353894606,0.443232311723824,-1.53760158277707,-1.43643670504059,0,-0.577152241370195,-0.807705597699226,0.443232311723824,0.38544833086476,0.748629372222855,0.51272416543238
5842,aggregated,2022-2023,11,Aaron Ganal,aggregated,19,18.2105263157895,4.261387283237,0.619838150289017,1.55928034682081,5.58343930635838,0.271179190751445,0.910387283236994,2.67794797687861,0.338973988439306,0.21306936416185,0.37771387283237,0.54235838150289,1.07503179190751,0.37771387283237,0.697317919075145,1.48424855491329,0.319604046242775,1.0581098265896,-1.50956636800542,1.40921676300578,0.697317919075145,-6.06300578034682,0.648893063583815,2.80864161849711,0.222754335260116,3.74329479768786,-1.01051026871078,-0.830806688969465,40.4959537572254,31.4329479768786,76.3384393063584,39.464450867052,37.4959537572254,96,-19.6615606936416,1.40676878612717,0.300234104046243,0.435823699421965,0.368028901734104,0.358343930635838,0.300234104046243,1,0.300234104046243,0.600468208092486,3.61494219653179,0.16464450867052,2.54725433526012,4.96615606936416,0.511890173410405,0.0774797687861272,0.331736994219653,0.251809248554913,0.368028901734104,1.56896531791908,0.222754335260116,0.222754335260116,0.668263005780347,0.319604046242775,-0.272981937779614,-0.145441099016473,0.338973988439306,-1.12888676436093,-1.23198367307247,0,-1.22531833329194,0.566132503031597,0,-1.10591725121403,0.997698578904313,0,-1.59847979128395,-1.1525751854711,0,0.200558802923234,0.746418254663521,0.145274566473988,0,0,0,-0.994152239132661,-1.22809794875283,0,0.600468208092486,0.922520231213873,0.648893063583815,0.331736994219653,0.777245664739884,0.418901734104046,0,0.222754335260116,0,0.145274566473988,0.208280346820809,0.96849710982659,0.145274566473988,0.368028901734104,0.37771387283237,0,0,0,0.222754335260116,0.368028901734104,0.59078323699422,0.0774797687861272,0.0774797687861272,0.96849710982659,-1.47199571531022,-1.68363874759512,0,-1.25901584881217,-1.72067474924653,0,-0.780352636820444,0.581691702493428,0.116219653179191,-0.100586355486445,0.953221855075886,0.174329479768786,-1.4988725327541,0.12564580247183,0,0.600468208092486,0.891017341040463,0.648893063583815
3569,BETCLIC Elite - LNB Pro A,2022-2023,11,Aaron Henry,Metropolitans 92,12,19.8333333333333,5.8,0.88,2.3,4.8,0.49,0.5,1.17,0.43,0.58,0.83,0.7,2.3,0.58,1.67,1.25,0.67,1.42,1.28451557696534,2,0.5,3.8,1.83,3.6,0.51,2.8,-0.991520283605752,-0.750119489041211,43,41,96,43,38,88,8,0.88,0.47,0.21,0.56,0.54,0.25,0.33,0.76,2.1,4.4,0.47,2.5,6,0.4,0.67,0.75,0.89,0.33,0.83,0.4,0.33,0.42,0.79,-0.245271097495584,0.251219697739294,0.24,0.206523915927765,0.0386338902985043,0.47,0.771820385115852,1.26474143446706,0.18,-1.10591725121403,-1.27195102405476,0,0.178929565092067,0.0235763266859871,0.76,0.310556828180281,0.0497843591228596,0.52,0,0.08,0,0.990320773149274,0.176545108602486,1,0.5,1.33,0.38,0.25,1.42,0.18,0.42,0.58,0.72,0.17,0.5,0.34,0,0.08,0,0,0.17,0,0.25,0.33,0.76,0.25,0.25,1,-1.47199571531022,0.23914611364755,0,-1.25901584881217,-1.72067474924653,0,0.806330850541438,0.370758515269871,0.67,1.19414311020857,0.557289654562543,0.86,0.169703137541304,0.271609696282089,0.4,0.58,0.75,0.77
2538,FIBA Champions League,2021-2022,34,Aaron Jones,De' Longhi Treviso,17,21.5666666666667,5.9,0.88,2.7,5.6,0.47,0.24,1.35,0.18,0.41,0.71,0.58,6,2.1,4.1,1.35,0.82,0.82,1.56460113261227,1.47,0.82,-0.88,2.4,4.2,0.57,3.2,1.35652489517461,1.36990550986058,45,43,95,44,44,99,-3.8,1.65,1,0.31,0.5,0.5,0.18,0.53,0.34,2.4,4.9,0.48,3.6,7,0.48,0.18,0.41,0.44,0.24,0.88,0.27,0.12,0.18,0.67,-1.43511553966521,-0.690509695817594,0,1.00834688057364,0.852424664142536,0.55,-1.22531833329194,-1.45486406423349,0,-1.10591725121403,-1.27195102405476,0,0.348144029278671,0.580652908022359,0.55,-1.15800297083035,-1.20741840154746,0,0.76,1.24,0.61,-0.994152239132661,1.25728218426263,0,0.41,0.76,0.54,0.35,0.94,0.37,0.24,0.47,0.51,0.12,0.12,1,0.35,0.65,0.54,0.47,0.82,0.57,0,0,0,0.53,0.82,0.65,1.38369110390311,1.40503757879076,0.62,1.29258772564899,1.48588403472578,0.34,-0.91665003745086,-1.20131116432486,0.67,-1.53760158277707,-1.70204436208218,0,-0.177052885567021,-0.582452783326975,0.67,0.53,0.82,0.65
2149,LEB Oro,2021-2022,77,Aaron Menzies,HLA Alicante,30,15.6166666666667,5,0.88,1.93,3.7,0.53,0,0,0,1.1,1.97,0.56,4.8,1.83,2.9,0.3,0.37,1.1,0.890667477961029,2.5,1.67,0.33,1.93,3.7,0.53,0.8,1.39205731493763,1.42600120696826,33,29,89,33,29,87,2.1,0.27,0.34,0.87,0.55,0.521621621621622,0,0.03,0,1.77,3.5,0.51,3,5.9,0.51,0.13,0.13,1,0,0,0,0,0,0,-1.43511553966521,-1.64745170068523,0,1.12495725209546,1.0980825825874,0.46,-1.22531833329194,-1.13984046322806,0,-1.10591725121403,-1.27195102405476,0,0.810227790857715,1.03216984375701,0.56,-1.15800297083035,-1.20741840154746,0,0.6,1.03,0.58,-0.994152239132661,-1.22809794875283,0,0.23,0.5,0.46,0.37,1.07,0.35,0.13,0.2,0.65,0.03,0.13,0.23,0.17,0.37,0.46,0.07,0.2,0.35,0.03,0.03,1,0.47,0.83,0.57,1.50628470131856,1.51778398981724,0.61,1.78205515982864,1.73564922291753,0.56,-1.70601250013172,-1.84305299411704,0,-1.53760158277707,-1.70204436208218,0,-1.4988725327541,-1.67536839422989,0,0.23,0.43,0.53
