
Cluster 0:
,steals,blocks,opponent's points with player,defensive rating,steals to turnovers,opponent's field goals made,opponent's field goals attempted,opp transition shots made,opp transition shots,opp catch and shoot shots,opp catch and drive shots made,opp catch and drive shots,opp screens off shots made,opp screens off shots,opp post up shots made,opp post up shots,opp isolations shots made,opp isolations shots,opp hand off shots made,opp hand off shots,opp cuts shots made,opp pick-n-roll shots made,opp pick-n-roll shots,opp pick-n-pop shots made,opp pick-n-pop shots,opp drives shots made,opp drives shots,cluster
count,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0,2549.0
mean,0.8163277700844137,0.15711365291609317,43.349161759270494,94.72413431927849,0.6657447852681563,2.7174371272464266,6.2219362111001155,0.3754624358116056,0.6747378486287938,1.4605264915054188,0.2318605234354306,0.5794852030835553,0.20717296975516036,0.5093725929238365,0.15799301656130194,0.3459750650524559,0.14454729744675213,0.3767356977999837,0.09860069280131496,0.2558789626082458,0.22031916549893496,0.07026356001091093,0.10907032814416763,0.04200852977860813,0.11774878028061046,0.4741169996762165,0.9993596936458699,0.0
std,0.3903061401403382,0.1834472486292073,11.184813148521682,6.597613148466743,0.43917646395527676,0.7945078634410391,1.707245569000353,0.198204739013884,0.30902857275547585,0.5820399845680337,0.1340098747337691,0.25881505975231667,0.12760407395505569,0.2554188681554547,0.11808435232193734,0.22152238922970427,0.10026986528919879,0.19946134160226614,0.0796913997486613,0.1534101449250052,0.13204264196265308,0.07575017519525368,0.1064686500541858,0.05087408050199652,0.10073325886011077,0.22804201928980686,0.4101273690233567,0.0
min,0.03,0.0,11.986798846795814,69.0,0.04,0.7515747260148167,1.761968407518521,0.0,0.0,0.1856278311288276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
25%,0.54,0.03,35.0,91.0,0.42,2.1,5.0,0.24,0.45,1.03,0.14,0.4,0.12,0.32,0.08,0.19,0.0769827005167378,0.23,0.04,0.14,0.13,0.0,0.04,0.0,0.05,0.31,0.71,0.0
50%,0.75,0.1,43.0,95.0,0.58,2.7,6.0,0.35,0.63,1.39,0.21,0.5546068474505287,0.19,0.47,0.1384509478589331,0.3,0.13,0.349848441108545,0.0871821455719074,0.2324002319064644,0.2,0.06,0.09,0.03,0.1,0.44,0.94,0.0
75%,1.03,0.22,51.0,99.0,0.8,3.2945054945054943,7.0,0.47,0.83,1.8261390887290163,0.3,0.72,0.28,0.66,0.22,0.47,0.2,0.4948380566801619,0.14,0.3480664857530529,0.29,0.1,0.15,0.0643875672358398,0.1672636755509684,0.6,1.24,0.0
max,2.8,1.68,75.0,117.0,10.567724271219197,5.4,12.0,1.54,2.7,4.3,1.3,2.2,1.0,1.63,1.0,1.67,0.88,1.47,0.62,1.0,1.25,1.11,1.54,0.56,0.89,1.7,3.2,0.0

Cluster 1:
,steals,blocks,opponent's points with player,defensive rating,steals to turnovers,opponent's field goals made,opponent's field goals attempted,opp transition shots made,opp transition shots,opp catch and shoot shots,opp catch and drive shots made,opp catch and drive shots,opp screens off shots made,opp screens off shots,opp post up shots made,opp post up shots,opp isolations shots made,opp isolations shots,opp hand off shots made,opp hand off shots,opp cuts shots made,opp pick-n-roll shots made,opp pick-n-roll shots,opp pick-n-pop shots made,opp pick-n-pop shots,opp drives shots made,opp drives shots,cluster
count,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0
mean,0.6018229065404115,0.5443359601569505,39.75461750643895,95.33694381872844,0.5235146778687781,3.3446810390522512,7.017001849399692,0.2737646140179647,0.4988761173477178,1.2203980875159366,0.19351784253664805,0.4648866687038961,0.11176491812235878,0.2641473986730837,0.36110363260257383,0.7831667500033028,0.14744405324902754,0.3889371681292329,0.05160606624663514,0.13878648311342548,0.47444940472711755,0.4894556567653863,0.7698422539996024,0.1703199585112189,0.43275758802383535,0.3869783816024893,0.8180302627639141,1.0
std,0.3109773164907833,0.4141221939238337,10.6309482215494,6.450029733289328,0.28528975492638764,0.9430173427078031,1.9534968459140094,0.16658324651270562,0.27418306089093786,0.6539917519458041,0.13232052585682927,0.2776351889605591,0.08983412482239164,0.17353326920639126,0.18763560542281932,0.3653631495009246,0.1097997362103781,0.2513157050306395,0.05321615378969634,0.10468280809856091,0.20804696754291582,0.293810082241166,0.4441724240798566,0.10618627785599302,0.22696947656889918,0.19914984247603787,0.3576318440709025,0.0
min,0.0,0.0,10.733083789231213,73.0,0.0,0.9058710048949036,1.64263173049237,0.0,0.0446221541993495,0.15,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
25%,0.38,0.24,32.0,91.0,0.32,2.6,5.7,0.16,0.3021548456957228,0.76,0.1,0.27,0.05,0.14,0.2327498922568596,0.5332388454163859,0.0685914937268208,0.21,0.0,0.07,0.3208163670015865,0.25,0.41,0.09,0.27,0.2487672281776416,0.56,1.0
50%,0.54,0.44,39.28483920367535,95.61933195581082,0.47,3.3,7.0,0.2419364710202582,0.46,1.07,0.17,0.4,0.09,0.23,0.33,0.73,0.1245291315500183,0.33,0.04,0.12,0.4525897833466035,0.45,0.6853258655804481,0.15,0.4,0.35,0.77,1.0
75%,0.77,0.75,47.0,100.0,0.67,4.0,8.0,0.36,0.62,1.5,0.2581929315884335,0.6,0.1543016961385781,0.3383750515747489,0.45,0.97,0.21,0.52,0.08,0.18,0.6,0.68,1.06,0.23,0.569057127010538,0.48,1.0,1.0
max,1.9,3.1302204573462955,74.0,115.0,2.6,7.0,14.0,1.33,2.053220806062694,4.4,0.89,2.0,0.51,1.25,1.67,3.2,0.6389331338473933,1.7,0.32,0.79,1.3057382631963026,1.61,2.5,0.62,1.7,1.3,2.3,1.0
