
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
count,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0
mean,11.531365714222327,0.9120635121413558,3.9446834485108844,9.272150428104954,0.4237701318666269,1.4321897331064566,4.124995885211107,0.34105805536024925,2.2116347411872512,2.8124528873133094,0.7811214475029014,3.623639232267455,2.5146068154241608,5.133551191649815,0.485476133163585,8.544533935164496,0.14094494584143283,0.31012623454572824,51.68551515728594,49.518533087833276,95.80988118176036,1.832851436112001,0.5457887376466145,0.49982894439952463,0.4888980618234671,1.1924669964681178,3.2161481180051914,7.8392971142816394,3.1271770169897914,7.110153355741386,0.5770706401308222,1.0517802801672433,0.5570165264290062,1.4762667355373822,0.3122002224676149,0.7614337479824369,0.2472157758242205,0.6068801761219593,0.05663044378572724,0.1297282616969849,0.429860902629319,1.0734678751926483,0.21448882189922838,0.5334012971798682,0.14193382157382375,0.21278897090740206,1.2203613666882138,2.965738593540017,0.014336999213400235,0.037931059107925894,0.5456956884179872,1.1020168414923739,0.504047558998736,1.0406790901163148,0.0
std,3.3589255641906597,0.10907695784769675,1.140852097417839,2.362033508155491,0.04881836790542753,0.6309447033578478,1.5424221738381603,0.06428007598891244,1.0236619546366668,1.235076948764679,0.08849100181232927,1.4688951745388366,0.9800831664789778,1.8050374366510118,0.062194116346113555,3.479068910252704,0.11764117676117503,0.2671606201674821,9.120883769410572,9.305039938211648,6.100223970105981,0.640420903964771,0.05691245082361874,0.05950116631791379,0.25018267591318294,0.4997411022499889,1.0192361440520379,2.1989790931573454,0.7568466189532759,1.5427033436933915,0.3201602156398177,0.5163433462110091,0.26066488116625414,0.561863259175687,0.19363926664468323,0.3670616517920749,0.24635273790810575,0.5631280361730366,0.12627766778457053,0.2651498388905445,0.3155928099534583,0.7031401442144473,0.14305069871863427,0.309001074325076,0.14144752399892807,0.2009071694146299,0.5541540607728009,1.1340212261827722,0.03198475124008054,0.06330083681783537,0.30610297360255007,0.5341465468160201,0.3121572941718796,0.5618540180704157,0.0
min,4.3,0.5199999999999996,1.59,4.499999999999999,0.2661333878887063,0.0,0.5299999999999989,0.0,0.24999999999999847,0.3899999999999993,0.3999999999999991,0.7399999999999995,0.21999999999999928,1.13,0.18999999999999911,1.679999999999999,0.0,0.0,27.0,24.0,75.2360172095882,0.33999999999999914,0.35999999999999877,0.0,0.0,0.24039657968450512,1.0999999999999994,3.1,0.9999999999999978,3.1,0.0,0.0,0.0,0.15999999999999773,0.0,0.07999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999998016,0.31999999999999884,0.0,0.0,0.0,0.08999999999999879,0.0,0.0,0.0
25%,8.999999999999998,0.8499999999999983,3.0131308568513444,7.440861198825544,0.3899999999999994,0.9499999999999986,3.0,0.29999999999999954,1.4299999999999993,1.89,0.7299999999999989,2.499999999999999,1.7691923278230897,3.899999999999998,0.4495660615701297,5.9,0.06238085331789865,0.1399999999999996,45.69689643989449,43.99294323222365,92.0,1.3799999999999992,0.51,0.46464525256537437,0.3099999999999997,0.8399999999999991,2.4,5.999999999999999,2.599999999999999,5.999999999999998,0.32999999999999885,0.6699999999999986,0.37462359486475255,1.0599999999999985,0.1799999999999989,0.49650842744485474,0.07876582649472211,0.20999999999999827,0.0,0.0,0.2199999999999981,0.5646292523340414,0.1099999999999991,0.3193356092436958,0.03999999999999891,0.07023461247030051,0.8499999999999983,2.199999999999999,0.0,0.0,0.3199999999999986,0.71,0.28813045934935494,0.6658747512162748,0.0
50%,11.000000000000002,0.9199999999999985,3.899999999999999,9.0,0.42999999999999794,1.3899999999999983,4.0,0.3499999999999971,2.0533728629573766,2.6,0.7899999999999996,3.499999999999999,2.3999999999999986,4.863574910216521,0.4899999999999985,8.0,0.11999999999999802,0.24999999999999967,52.0,49.88174306055443,96.00000000000001,1.784999999999998,0.5499999999999979,0.49999999999999967,0.44999999999999907,1.1394129093497851,3.1254164548737773,7.999999999999998,3.099999999999999,7.0,0.5299999999999989,0.9738793235107586,0.532576614613845,1.3999999999999984,0.27202084591072,0.6998550724637667,0.16999999999999993,0.4199999999999986,0.0,0.02999999999999902,0.3499999999999984,0.9099999999999979,0.1899999999999975,0.4699999999999993,0.09999999999999937,0.1499999999999998,1.1307355371900818,2.836612373634538,0.0,0.0,0.49999999999999845,0.9999999999999999,0.4399999999999994,0.9281531159719332,0.0
75%,13.999999999999998,0.9899999999999979,4.7967993405558165,10.999999999999998,0.45999999999999774,1.822733643273336,5.1,0.38870700740952197,2.7999999999999994,3.5,0.8399999999999997,4.599999999999997,3.0999999999999988,5.999999999999999,0.5299999999999978,10.999999999999998,0.18999999999999811,0.41999999999999826,58.0,56.0,100.0,2.2,0.5848600673168639,0.5399999999999986,0.6199999999999986,1.449317126045214,3.8999999999999986,9.0,3.5999999999999983,8.0,0.7699999999999974,1.3599999999999994,0.7099999999999979,1.819999999999998,0.41698772248536586,0.9999999999999976,0.3432576369815066,0.8199999999999976,0.059999999999998915,0.13999999999999813,0.5784201130615859,1.3631423203381865,0.28999999999999937,0.6712487719993443,0.19999999999999898,0.29999999999999805,1.5224999999999993,3.599999999999999,0.0,0.05999999999999775,0.7099999999999976,1.4124999999999988,0.6699999999999975,1.2899999999999991,0.0
max,22.0,1.2299999999999982,7.999999999999998,17.645279427614835,0.5533669986275812,3.499999999999998,9.798991675648404,0.5599999999999978,6.171641634722135,7.999999999999999,0.9699999999999988,9.999999999999998,6.999999999999999,12.0,0.7299999999999996,24.0,1.0899999999999994,2.4,77.0,74.0,112.0,4.3999999999999995,0.7099999999999982,0.6499999999999995,1.7543503734514034,3.699999999999998,6.999999999999998,15.682374389432889,7.0,14.0,1.9200000000000002,3.1999999999999984,1.6699999999999984,3.3999999999999995,1.2199999999999998,2.5999999999999996,1.3799999999999983,3.2,0.976815648863714,2.399999999999999,2.0999999999999983,4.6,1.1699999999999995,3.0,1.0032082908118378,1.2499999999999978,4.1,7.999999999999999,0.2999999999999999,0.6799999999999983,1.669999999999999,3.4999999999999987,2.0999999999999988,3.6999999999999984,0.0

Cluster 1:
