
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0
mean,5.064385409567476,20.497098671260535,1.7370122779582735,3.985117909320102,0.18279802079511487,0.661285456642106,1.8322626933375854,0.14938766330920702,0.9282990371919027,1.1698900423024476,0.3319013194292488,1.150777801422938,1.0761379312263943,2.149878979719774,0.20921369026808428,2.7151323891981836,-0.2930926979221337,-0.29602032338816003,21.205857874297124,20.505800829250127,2050.2892437210844,0.6438146018968268,11.966768017829173,0.21785032079453392,0.20949271613432086,0.49464548539903613,1.4262822505688035,3.3945968145624588,0.27022732791085946,0.4849453378398885,0.2770866815572606,0.7089197122867595,0.153316117617242,0.3671404325646584,0.3448595817812758,0.3578052591881016,-0.18130515230345912,-0.19258401156412439,0.4238772253788923,0.438961160819742,0.43904314200702244,0.4564080888800199,-0.1611514401030478,-0.16761681903165485,0.4539792625390662,0.45099801136453915,-0.17087876459031054,-0.19175703616078613,0.43577991069227995,0.43718408603412295,0.39275146026770785,0.40566571751707314,0.39774748942385535,0.4082339880281722,0.0
std,1.5351333991218976,5.749352567038078,0.5260717663413779,1.180092983784035,0.06156342992892384,0.29944015487935394,0.7471391280680212,0.055194178590433865,0.4446520118316683,0.5396357699970326,0.1169751803639829,0.625500496463546,0.4401863721529702,0.8488232550538612,0.07279307323544994,1.495271502894866,0.22181862047368137,0.23657381094638175,5.495215828133706,5.507192917650791,549.6444617586532,0.3193955429390855,3.320558027984745,0.07436066204043114,0.12427591201309318,0.24961914430159896,0.4526516085608651,1.053604130802137,0.14081009843778153,0.22380736756477937,0.14775583260412012,0.3289384687588882,0.0934348779796184,0.18759028068377012,0.3963060216562306,0.3678189069739745,0.32579107757912973,0.33250908746217156,0.35612795022218685,0.3080116212073893,0.3419364949115156,0.28055542210448353,0.34992127403332796,0.3415654400295644,0.2748538434736278,0.23953266969113865,0.299585606851277,0.28104506233821835,0.2924352342564914,0.2750668633031533,0.34524190123137766,0.3194532500992068,0.3301854532466167,0.3008359535248937,0.0
min,1.2856505812710928,5.501746333955711,0.4449580327583036,1.0192608121053928,0.04494759068620388,0.0,0.18045762711864383,0.0,0.09146166045126579,0.15551056853947207,0.060334640073278316,0.10403857094711973,0.19081766941726155,0.425882943177674,0.046034807144262155,0.2519408690100857,-1.2378627727926088,-1.329431311511584,5.145185185185185,4.974432275505994,505.4090661793937,0.07877966101694904,3.030179163562448,0.05745201487615134,0.0,0.04044444444444343,0.37239898565112456,0.9146990201913153,0.0,0.0737563405732738,0.0,0.061011494252871966,0.0,0.0,-0.9266336441787885,-0.8531701904948631,-0.8039888986379659,-0.8886393683381048,-1.1132284783462754,-0.6745885611649675,-0.7846424136484562,-0.6183727279392918,-1.2387276302824426,-1.3175333120207489,-0.6726004189899216,-0.45917253908467126,-0.7932758013761438,-0.9470924205654313,-0.7916596351299455,-0.5963756798262968,-0.8325790406655597,-0.8137369470621652,-0.8775853365587729,-0.5666999243837024,0.0
25%,3.9861186595166895,16.483333333333334,1.3785106382978713,3.152369892985202,0.14132119982537922,0.4365740740740731,1.2814279825234296,0.11083333333333333,0.5996621395114182,0.7659405662351151,0.25145833333333334,0.6770833333333325,0.7384259259259258,1.514754098360654,0.1585365853658525,1.565128205128204,-0.4173374041169052,-0.43409396467837225,17.383333333333333,16.866666666666667,1680.0,0.41005714285714123,9.706666666666667,0.1673454545454541,0.11938775510204008,0.30983333333333213,1.1039506172839497,2.602718988776842,0.16977083333333146,0.3341772417510189,0.17133333333333334,0.48427272727272624,0.08543269230768981,0.22860526315789395,0.10905093557804794,0.1324096914652217,-0.42434949702283525,-0.44054678711349243,0.23657814817462036,0.2616943006844895,0.23550789942997605,0.2664818834897124,-0.3926191025572122,-0.3978446339436476,0.3030839828327495,0.3048722654264303,-0.3836880909324642,-0.3859161849828785,0.247680260719453,0.2622085701125564,0.18390574658488196,0.20390236168502393,0.20089073001321414,0.22652114487129196,0.0
50%,4.914483735122312,20.300238449546487,1.6954644808743151,3.9525423728813562,0.17441666666666575,0.6291999999999985,1.76755548345822,0.14348839028846389,0.8640476190476182,1.084375,0.32342635658914726,1.0207751937984468,1.0208715242157709,2.0390625,0.20061299435028113,2.4070833333333317,-0.27468643774304263,-0.2737075107247043,21.316666666666663,20.48833333333333,2044.5500000000002,0.5867727272727251,11.835,0.20940394766860856,0.19148226950354558,0.45701063829787214,1.3989130434782588,3.342528735632183,0.25181546152217194,0.4501576576576565,0.2529273504273502,0.6663229166666667,0.1368769230769229,0.3325,0.3560989905536615,0.3706801016688303,-0.2545879983020788,-0.2586959699162175,0.45563747254007364,0.4536584754499796,0.45463860865239425,0.4468664202546554,-0.1537576745178149,-0.1527959010528878,0.4695643406219893,0.4598565551387305,-0.25902521982218457,-0.2195852585441762,0.43983549142266687,0.42686459963502765,0.40708120241899765,0.40653362287936484,0.40548023115176135,0.41502901306170265,0.0
75%,6.059016393442622,24.474666666666664,2.0775470559488523,4.770626129271135,0.21922480620154922,0.8513202794384352,2.2883333333333336,0.18236477987421315,1.1675351177555444,1.475555555555554,0.3944255319148921,1.4951020408163256,1.3584803921568613,2.6965053763440854,0.24806410256410075,3.519999999999999,-0.15342360214762163,-0.14473489216359683,25.163888888888888,24.285215053763444,2428.8,0.8054551696778892,14.205333333333336,0.2609848484848475,0.2758544995035633,0.63306818181818,1.6984848484848483,4.021502271809428,0.3336021505376334,0.5962962962962961,0.35890243902438823,0.902642754343666,0.20775,0.4698506028639188,0.6183727570420364,0.6153188943178355,-0.013204870369255092,0.005556045740492355,0.6472474929755951,0.6298097578511541,0.6601026621009506,0.6347632204525651,0.07722745860811543,0.0525629110673436,0.6250276640675243,0.5968618079331053,0.022446780601386048,-0.030480449354580084,0.6271184933334389,0.6112975056174232,0.6275236290043976,0.6105802853268251,0.6124078561717711,0.6012412395609186,0.0
max,10.594444444444443,40.147,3.5675438596491214,8.216666666666667,0.46230303030302883,1.9655813953488341,4.913953488372092,0.3948838383838376,2.8914814814814793,3.594814814814813,0.8917499999999999,4.004736800136833,2.889673913043476,6.668478260869566,0.5297222222222201,9.100835677440845,0.6387118903880687,0.6115841229743445,35.21666666666667,36.4436507936508,3647.466666666667,2.1388888888888866,22.224,0.5682474747474722,0.8229716312056728,1.836382978723404,2.9050000000000002,6.766666666666665,1.0225,1.7041666666666633,0.9113900709219845,2.1321113357617416,0.664473684210526,1.1628289473684195,1.9917475781872,1.9774664990067525,0.8042451050480752,0.8020439029972204,1.4600878444063035,1.5021594762368589,1.5921738357973745,1.6000711594925505,0.9625963294669717,0.8910796521228227,1.1665089871500278,1.2190751357547416,0.9289187031052738,0.9018387125028641,1.3862807999765097,1.5305345398533046,1.5494197654371349,1.549740131631287,1.5126216133504526,1.6403238459772644,0.0

Cluster 1:
