
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0
mean,4.7641606827143255,0.9531998725983512,1.6757296655546172,3.714907117617499,0.44426256544447196,0.6691698766638081,1.8585224950904329,0.34587086955699314,0.7410017154449592,1.013165602819178,0.7210351632262135,0.8630417428569259,1.0051077957340806,1.856389941191239,0.5244285490459887,2.0722745953823254,0.3224922011057371,0.7506653244532255,28.64233884581216,27.59426277088621,95.96865143735637,1.3544421948565397,0.5589831622716792,0.5291974501096046,0.2504542318213205,0.6147248761268593,1.3360854571150798,3.010318733268058,0.24552897216979938,0.41748858875100997,0.444921751850224,1.1890998660611283,0.14361363540166555,0.34828662017351614,0.13194699007935867,0.3102107816332972,0.08227535707669666,0.17853268803701178,0.03732918200926987,0.1108568815654308,0.04046305573017895,0.10811503077815986,0.18875272341590313,0.277626101846061,0.1108572444721624,0.2878794009270968,0.033498040213495985,0.09298275428001294,0.1943752245177095,0.41904487169577564,0.10180028489295011,0.21658778084928074,0.09249499335907187,0.20222628891100894,0.0
std,1.9798766055248014,0.1545415223301958,0.6991125729162352,1.2854346182729801,0.07684127641297264,0.43823316893023073,1.0146978907846553,0.09254223874972975,0.5111667925784065,0.6614059251937351,0.1433519702302354,0.4960794861315828,0.6226338471208248,0.993558625990147,0.09782267451723049,1.187034376971547,0.3993953849451482,0.9429794739856402,5.9061998493271375,6.5614008493610525,6.938807770390484,0.7671870789529553,0.08013123534791129,0.0822333450087616,0.17302830011378745,0.32602375778331155,0.6083673563912613,1.1530491596705166,0.15860632447674144,0.25317346220119835,0.2543758785371819,0.5569160641482966,0.11223923742527514,0.2242220697413536,0.18109796247744142,0.40335381134905013,0.15538873606237041,0.30251676821166607,0.057198975585435075,0.12721053795821657,0.06988418662180844,0.1442444176169478,0.1865741926688641,0.25709588007130696,0.1655430376215209,0.38910213330980586,0.050855355471654186,0.12448268860768778,0.1689840762769663,0.31861775661620945,0.09963241971625082,0.18211604137224988,0.09961003880800001,0.18207094645346777,0.0
min,1.1099999999999992,0.30868261898501137,0.3243844417433578,1.2399999999999995,0.20164438270533072,0.0,0.0,0.0,0.0441924885653539,0.059999999999999984,0.20999999999999908,0.10999999999999954,0.06047058823529325,0.22041176470588225,0.17999999999999944,0.25999999999999945,0.0,0.0,11.733083789231213,10.644111718974951,77.0,0.2099999999999991,0.18627399421509303,0.0,0.0,0.04999999999999895,0.21999999999999978,0.5499999999999996,0.0,0.0,0.0,0.1499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3.3,0.863620689655172,1.169547380026692,2.799999999999999,0.39999999999999875,0.35999999999999904,1.1399999999999988,0.2899999999999999,0.3998580848623841,0.5574999999999998,0.6405433705957266,0.5047682553563615,0.5499999999999997,1.1099999999999997,0.4618731559501336,1.2228695470691984,0.05999999999999911,0.11999999999999993,24.980289398015024,23.0,91.0,0.8399999999999996,0.5105006544502614,0.47999999999999915,0.11999999999999955,0.37999999999999906,0.9044610706761156,2.1999999999999997,0.12999999999999956,0.24252234787575808,0.263158033982009,0.7899999999999998,0.05999999999999925,0.18656237176945473,0.029999999999998903,0.06999999999999902,0.0,0.0,0.0,0.02999999999999871,0.0,0.0,0.04999999999999949,0.07742859734179935,0.0,0.0,0.0,0.0,0.06999999999999959,0.18637136149707276,0.029999999999999364,0.08752283827071221,0.029999999999998847,0.06999999999999931,0.0
50%,4.580098906819364,0.9599999999999995,1.6199999999999994,3.6000000000000005,0.44296828543111977,0.5880335478112462,1.6999999999999988,0.3499999999999995,0.6499999999999991,0.889999999999999,0.7299999999999993,0.7499999999999993,0.8599999999999993,1.650983244123807,0.5335646471566996,1.7799999999999998,0.1299999999999997,0.309035074876599,28.999999999999996,27.0,96.0,1.1817824275047748,0.5599999999999996,0.5321110488299245,0.21628570945603198,0.5699999999999994,1.2599999999999993,2.915892193937692,0.21592500611705814,0.3707541669307307,0.3999999999999997,1.1,0.11999999999999995,0.3099999999999989,0.06999999999999974,0.16999999999999993,0.0,0.039999999999999494,0.0,0.06999999999999959,0.0,0.05999999999999918,0.12999999999999962,0.20622910076818673,0.03190399200423279,0.0999999999999989,0.0,0.039999999999998676,0.1482021785509526,0.33999999999999986,0.0799999999999988,0.1775235681897528,0.06175669175364751,0.15999999999999925,0.0
75%,5.8,1.0596754475863794,2.099999999999999,4.43407602764389,0.48999999999999927,0.8800378640018732,2.491953898898634,0.3999999999999996,0.9699999999999985,1.2924999999999995,0.822586562242373,1.0424999999999993,1.3113110849931946,2.3999999999999995,0.59,2.4999999999999996,0.47999999999999915,1.1224999999999996,33.0,32.0,101.0,1.7357517997382195,0.6099999999999999,0.589999999999999,0.32999999999999957,0.7800763742578048,1.6724999999999992,3.5999999999999996,0.32999999999999907,0.5199999999999994,0.5699999999999997,1.4999999999999991,0.20249999999999946,0.46999999999999875,0.16999999999999887,0.3524999999999999,0.09999999999999917,0.20017910266529035,0.04999999999999981,0.15999999999999967,0.05999999999999865,0.1499999999999995,0.2754336936856371,0.39722189470081737,0.14212643678160908,0.46249999999999947,0.04999999999999949,0.14999999999999936,0.27249999999999963,0.5785357010040901,0.13999999999999976,0.29999999999999916,0.12000983493261734,0.2699999999999999,0.0
max,14.636974606352961,1.3699999999999992,5.685253481387093,11.382532083371258,0.7103151665595414,2.4,5.719324656412122,0.999999999999999,3.862180012854893,5.430663356900641,1.0,2.899999999999999,4.02341452603116,5.663207426959134,0.7599999999999987,7.000000000000001,2.0,4.799999999999999,56.17739146263766,50.379903522344584,114.0,5.999999999999999,0.7512606662381698,0.7399999999999999,0.9399999999999991,1.8799999999999997,4.613730772731408,9.729256393920087,1.2393510512423767,2.1009574952216243,1.5795290423861852,3.737205651491366,0.6057404204969503,1.4555102040816328,1.4899999999999995,3.2999999999999985,1.12,2.1,0.42286169534735385,0.9126641172721475,0.6199999999999983,0.9555310821880388,0.9970425923305505,1.3406208240534525,0.8099999999999994,1.93,0.3199999999999993,0.738646703138497,0.9555310821880388,2.099999999999999,0.5399999999999989,1.0399999999999998,0.629999999999999,1.1899999999999997,0.0

Cluster 1:
