
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0
mean,8.47725285036326,0.9935283538569554,3.200581528999035,6.291991499388565,0.5129025786434457,0.5616201911779573,1.6346712553110805,0.24618965453093627,1.515660028107977,2.1887314216355116,0.6903737210529323,1.1317573895724338,2.6395854366879945,4.6595930672831285,0.5624537724253313,2.741457252989854,1.642882015394938,3.7877777725817854,43.132831992800526,41.02779829032808,95.11348897489225,0.9932438115876809,0.58259058024866,0.5513317211837927,0.2357503232989254,0.6089356818227282,2.718550935633853,5.443253784029888,0.3299919529494975,0.5024760118581656,0.44455814868099924,1.2244369068644612,0.17441085461180802,0.41416000510683487,0.10647576832192145,0.24474130321214851,0.45923173122851546,0.9864737215109441,0.047110701319623,0.12360480204389233,0.014842821660126074,0.04324987601517555,0.5068259534005161,0.7534571791960007,0.019284804788046585,0.049982955355443344,0.1769721519976452,0.45682545163072924,0.2192970278244979,0.4565282747744479,0.11238373505576993,0.2329591299960878,0.10719787942505672,0.22329994002581424,0.0
std,3.128734261011005,0.11890460035448008,1.1583926864164207,2.2486646107097448,0.08331884175764596,0.5978471723154547,1.5911196020144083,0.17773193847348684,0.8420459240871234,1.129209774936465,0.1221800626702538,0.6654522750018104,1.1841996639976289,1.980369918196712,0.0732716049631817,1.584552409449956,1.0238821674346847,2.354967731769714,10.450810382218885,10.276807576659028,6.479032616883414,0.5302498954480618,0.0635797142894635,0.07431550823037665,0.21334496459466867,0.47088228044123215,1.0298836168077754,1.990965983213385,0.24409494969671103,0.361114630353776,0.38550732703295176,0.9591116888377688,0.17961657078191204,0.3831751914301378,0.14584842845564705,0.3250667842313956,0.4073598236295815,0.7804872135403823,0.07671753958098912,0.1736599354461962,0.03558094735644968,0.08114074378750107,0.27994525910371765,0.38970405276434456,0.046088425044713624,0.11183424095897802,0.19192693585836243,0.446824015866034,0.2074354631478324,0.40175447100659817,0.12548915469526423,0.2373407163757407,0.1275039732686407,0.23741264824204686,0.0
min,1.25,0.51,0.58,1.33,0.25,0.0,0.0,0.0,0.0,0.14,0.0,0.1,0.29,0.96,0.3,0.23,0.0,0.0,11.733083789231213,10.644111718974951,73.0,0.12,0.35,0.1088325013865779,0.0,0.0,0.42,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,6.0,0.92,2.3,4.6,0.45,0.0,0.09,0.0,0.9,1.364633129012368,0.62,0.68,1.7450522356874216,3.2,0.52,1.66,0.7815608792294393,1.7641718190693134,35.77630693291452,34.0,91.0,0.62,0.54,0.5081163475699558,0.07,0.22,1.95,4.0,0.15,0.24,0.12,0.35,0.03,0.1,0.0,0.04,0.15,0.39,0.0,0.0,0.0,0.0,0.29,0.45,0.0,0.0,0.0363524715996315,0.1310926909690419,0.06,0.15,0.02,0.07,0.0,0.05,0.0
50%,8.0,1.0,3.1,6.0,0.51,0.38,1.26,0.3,1.3457705677867902,1.9566012396694217,0.71,1.0,2.496816445333818,4.4,0.56,2.4,1.42,3.3,43.0,41.0,96.0,0.9,0.5810903941468021,0.55,0.18,0.5472518523952754,2.6,5.2483685107884055,0.2775667332485926,0.42,0.36,1.1,0.12,0.3134483195941661,0.06,0.14,0.33,0.77,0.0,0.07,0.0,0.0,0.47,0.7088292277885414,0.0,0.0,0.1122270133164235,0.3275391796777828,0.16,0.34,0.08,0.16,0.0685236325013276,0.15,0.0
75%,10.72652412597515,1.07,4.0,8.0,0.57,0.95,2.8,0.37,1.96,2.8,0.78,1.46,3.312082551594747,5.9,0.61,3.5535955927019836,2.4,5.510836437521165,50.0,48.0,100.0,1.25,0.62,0.6,0.35,0.9,3.4,7.0,0.45,0.69,0.69,1.9192074117190532,0.26,0.62,0.14,0.32,0.6633500512322709,1.41,0.06,0.17,0.0,0.0566846872147721,0.6765363283416528,1.0,0.03,0.0581065326633165,0.2551114118613756,0.6479824020624335,0.32,0.67,0.1697328172205437,0.32,0.16,0.32,0.0
max,21.0,1.42,7.0,17.0,0.79,3.5,8.0,1.0,6.171641634722134,8.0,1.0,7.0,7.0,12.0,0.79,17.0,5.4,12.0,81.0,70.0,118.0,4.0,0.77,0.7924528301886793,1.37,2.4,7.0,15.0,1.75,2.4,2.1,4.5,1.06,2.1047814608389555,1.2551803206313292,2.8,2.2,4.6,0.5822252246590838,1.4863517872424463,0.36,0.64,1.8154501969611705,3.0,0.64,1.55,1.47,3.0,1.25,2.3,0.75,1.58,1.0,1.58,0.0

Cluster 1:
