player name,def_cluster
Pierre Oriola,B
Usman Garuba Alari,B
Rolands Smits,A
Nikola Kalinic,A
Adam Hanga,A
Mike Tobey,B
Leandro Bolmaro,A
Nick Calathes,A
Kyle Kuric,A
Klemen Prepelic,A
Ante Tomic,B
Ferran Bassas,A
Sam Van Rossom,A
Rokas Giedraitis,A
Derrick Williams,A
Joel Parra Lopez,A
Pierria Henry,A
Vladimir Brodziansky,B
Alejandro Abrines Redondo,A
Nikola Mirotic,A
Martin Hermannsson,A
Tadas Sedekerskis,A
Simon Birgander,B
Carlos Alocen,A
Jaycee Carroll,A
Stan Okoye,A
Louis Labeyrie,B
Albert Ventura,A
Edy Tavares,B
Zoran Dragic,A
Dino Radoncic,A
Laurynas Beliauskas,A
Rafa Martinez,A
Juan Pablo Vaulet,A
Faggiano,A
Clevin Hannah,A
Andrew Albicy,A
Emanuel Ion Cate,B
Nemanja Radovic,A
Sadiel Rojas,A
Tim Abromaitis,A
TJ Campbell,A
Scott Eatherton,B
Adam Waczynski,A
Viny Okouo,B
Deon Thompson,B
John Shurna,A
Steven Enoch,B
Youssoupha Ndoye,B
Alec Peters,A
Nicholas Kay,B
Achille Polonara,B
Alec Brown,A
Jan Span,A
Ruben Guerrero,B
Aleksa Avramovic,A
Christian Eyenga,A
Seth Hinrichs,A
Leo Meindl,A
Conor Morgan,B
Johnny Dee,A
Jeffery Taylor,A
Bojan Dubljevic,B
Francisco Alonso,A
Tobias Borg,A
Oriol Pauli,A
David Jelinek,A
Sergi Garcia,A
Jake Cohen,B
Victor Arteaga,B
Obi Emegano,A
Brandon Davies,B
Nenad Dimitrijevic,A
James Feldeine,A
Fabien Causeur,A
Yankuba Sima,B
Christopher Czerapowicz,A
Pere Tomas Noguera,A
Alberto Abalde,A
Alvaro Munoz,A
Dario Brizuela,A
Tomas Dimsa,A
Pablo Almazan Sierra,A
Jordan Davis,A
Melo Trimble,A
Angel Delgado,B
Ziga Samar,A
Tonye Frank Jekiri,B
Cory Higgins,A
Pau Ribas,A
Augusto Lima,B
Nemanja Djurisic,A
Guillem Vives,A
Albert Oliver,A
Babatunde Olumuyiwa,B
Kassius Robertson,A
Jeremy Senglin,A
Axel Bouteille,A
Oliver Stevic,B
Javier Beiran,A
Tomas Bellas,A
Nicolas Laprovittola,A
Laurynas Birutis,B
Aleksander Balcerowski,B
Ilimane Diop,B
Fernando San Emeterio,A
John Daniel Roberson Roberson,A
Julen Olaizola,B
Alex Suarez,A
Xabi Oroz,A
Youssoupha Fall,B
Matthew Costello,B
William Magarity,B
Billy Yakuba Ouattara,A
Chema Gonzalez,B
Edgar Vicedo,A
Arturs Kurucs,A
Martynas Sajus,B
Mike Daum,A
Alberto Diaz,A
D.J. Strawberry,A
Adams Sola,A
Frankie Ferrari,A
Rudy Fernandez,A
Sergio Llull,A
Makai Mason,A
Aleksandar Cvetkovic,A
Joan Sastre,A
Xabier Lopez-Arostegui,A
Trey Thompkins,A
Jaime Fernandez Bernabe,A
Luca Vildoza,A
Eulis Baez,A
A.J. Slaughter,A
Bandja Sy,A
Conner Frankamp,A
Marc Garcia,A
Shawn Dawson,A
Daniel Perez,A
Ignacio Llovet Camp,A
Kyle Alexander,B
Nick Spires,A
Guillem Jou,A
Yannick Nzosa,B
Jerome Jerry Randle,A
Jonathan Beye Tabu Eboma,A
Jerome Jordan,B
Peter,A
Gabriel Deck,A
Artem Pustovyi,B
Leo Westermann,A
Pepe Pozas,A
Malik Dime,B
Volodymyr Gerun,B
Haukur Helgi Palsson,A
Michael Kaz Carlson,B
David DiLeo,A
Victor Claver,A
