EPS: 1.3, Min Samples: 2, Clusters: 2, Silhouette: -0.15
EPS: 1.3, Min Samples: 2, Clusters: 2, Silhouette: -0.15
EPS: 1.4, Min Samples: 2, Clusters: 3, Silhouette: -0.17
EPS: 1.4, Min Samples: 2, Clusters: 3, Silhouette: -0.17
EPS: 1.5, Min Samples: 2, Clusters: 6, Silhouette: -0.25
EPS: 1.5, Min Samples: 2, Clusters: 8, Silhouette: -0.33
EPS: 1.6, Min Samples: 2, Clusters: 12, Silhouette: -0.38
EPS: 1.6, Min Samples: 3, Clusters: 2, Silhouette: 0.07
EPS: 1.6, Min Samples: 2, Clusters: 13, Silhouette: -0.39
EPS: 1.6, Min Samples: 3, Clusters: 4, Silhouette: -0.24
EPS: 1.7, Min Samples: 2, Clusters: 21, Silhouette: -0.45
EPS: 1.7, Min Samples: 3, Clusters: 4, Silhouette: -0.24
EPS: 1.7, Min Samples: 4, Clusters: 2, Silhouette: 0.07
EPS: 1.7, Min Samples: 2, Clusters: 28, Silhouette: -0.47
EPS: 1.7, Min Samples: 3, Clusters: 3, Silhouette: -0.23
EPS: 1.7, Min Samples: 4, Clusters: 2, Silhouette: 0.08
EPS: 1.7, Min Samples: 5, Clusters: 2, Silhouette: 0.07
EPS: 1.8, Min Samples: 2, Clusters: 35, Silhouette: -0.47
EPS: 1.8, Min Samples: 3, Clusters: 5, Silhouette: -0.32
EPS: 1.8, Min Samples: 4, Clusters: 2, Silhouette: 0.08
EPS: 1.8, Min Samples: 5, Clusters: 2, Silhouette: 0.07
EPS: 1.8, Min Samples: 6, Clusters: 2, Silhouette: 0.07
EPS: 1.8, Min Samples: 2, Clusters: 44, Silhouette: -0.48
EPS: 1.8, Min Samples: 3, Clusters: 9, Silhouette: -0.39
EPS: 1.8, Min Samples: 4, Clusters: 4, Silhouette: -0.22
EPS: 1.8, Min Samples: 5, Clusters: 3, Silhouette: 0.07
EPS: 1.8, Min Samples: 6, Clusters: 2, Silhouette: 0.07
EPS: 1.8, Min Samples: 7, Clusters: 2, Silhouette: 0.07
EPS: 1.9, Min Samples: 2, Clusters: 59, Silhouette: -0.48
EPS: 1.9, Min Samples: 3, Clusters: 13, Silhouette: -0.39
EPS: 1.9, Min Samples: 4, Clusters: 4, Silhouette: -0.22
EPS: 1.9, Min Samples: 5, Clusters: 3, Silhouette: 0.08
EPS: 1.9, Min Samples: 6, Clusters: 2, Silhouette: 0.08
EPS: 1.9, Min Samples: 7, Clusters: 2, Silhouette: 0.08
EPS: 1.9, Min Samples: 2, Clusters: 77, Silhouette: -0.48
EPS: 1.9, Min Samples: 3, Clusters: 16, Silhouette: -0.40
EPS: 1.9, Min Samples: 4, Clusters: 5, Silhouette: -0.27
EPS: 1.9, Min Samples: 5, Clusters: 3, Silhouette: 0.08
EPS: 1.9, Min Samples: 6, Clusters: 2, Silhouette: 0.09
EPS: 1.9, Min Samples: 7, Clusters: 2, Silhouette: 0.08
EPS: 1.9, Min Samples: 8, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 2, Clusters: 94, Silhouette: -0.48
EPS: 2.0, Min Samples: 3, Clusters: 20, Silhouette: -0.41
EPS: 2.0, Min Samples: 4, Clusters: 5, Silhouette: -0.28
EPS: 2.0, Min Samples: 5, Clusters: 3, Silhouette: -0.21
EPS: 2.0, Min Samples: 6, Clusters: 3, Silhouette: 0.08
EPS: 2.0, Min Samples: 7, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 8, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 2, Clusters: 106, Silhouette: -0.48
EPS: 2.0, Min Samples: 3, Clusters: 27, Silhouette: -0.44
EPS: 2.0, Min Samples: 4, Clusters: 7, Silhouette: -0.31
EPS: 2.0, Min Samples: 5, Clusters: 4, Silhouette: -0.28
EPS: 2.0, Min Samples: 6, Clusters: 3, Silhouette: 0.08
EPS: 2.0, Min Samples: 7, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 8, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 9, Clusters: 2, Silhouette: 0.08
EPS: 2.0, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 2, Clusters: 138, Silhouette: -0.47
EPS: 2.1, Min Samples: 3, Clusters: 36, Silhouette: -0.44
EPS: 2.1, Min Samples: 4, Clusters: 13, Silhouette: -0.39
EPS: 2.1, Min Samples: 5, Clusters: 4, Silhouette: -0.28
EPS: 2.1, Min Samples: 6, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 7, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 8, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 9, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 11, Clusters: 2, Silhouette: 0.08
EPS: 2.1, Min Samples: 2, Clusters: 156, Silhouette: -0.46
EPS: 2.1, Min Samples: 3, Clusters: 41, Silhouette: -0.45
EPS: 2.1, Min Samples: 4, Clusters: 17, Silhouette: -0.39
EPS: 2.1, Min Samples: 5, Clusters: 8, Silhouette: -0.36
EPS: 2.1, Min Samples: 6, Clusters: 3, Silhouette: -0.21
EPS: 2.1, Min Samples: 7, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 8, Clusters: 2, Silhouette: 0.09
EPS: 2.1, Min Samples: 9, Clusters: 2, Silhouette: 0.08
EPS: 2.1, Min Samples: 10, Clusters: 2, Silhouette: 0.08
EPS: 2.1, Min Samples: 11, Clusters: 2, Silhouette: 0.08
EPS: 2.1, Min Samples: 12, Clusters: 2, Silhouette: 0.08
EPS: 2.1, Min Samples: 13, Clusters: 2, Silhouette: 0.07
EPS: 2.2, Min Samples: 2, Clusters: 168, Silhouette: -0.45
EPS: 2.2, Min Samples: 3, Clusters: 48, Silhouette: -0.45
EPS: 2.2, Min Samples: 4, Clusters: 22, Silhouette: -0.40
EPS: 2.2, Min Samples: 5, Clusters: 11, Silhouette: -0.37
EPS: 2.2, Min Samples: 6, Clusters: 6, Silhouette: -0.31
EPS: 2.2, Min Samples: 7, Clusters: 3, Silhouette: -0.20
EPS: 2.2, Min Samples: 8, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 9, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 11, Clusters: 2, Silhouette: 0.08
EPS: 2.2, Min Samples: 12, Clusters: 2, Silhouette: 0.08
EPS: 2.2, Min Samples: 13, Clusters: 2, Silhouette: 0.08
EPS: 2.2, Min Samples: 14, Clusters: 2, Silhouette: 0.08
EPS: 2.2, Min Samples: 2, Clusters: 171, Silhouette: -0.44
EPS: 2.2, Min Samples: 3, Clusters: 61, Silhouette: -0.44
EPS: 2.2, Min Samples: 4, Clusters: 27, Silhouette: -0.41
EPS: 2.2, Min Samples: 5, Clusters: 13, Silhouette: -0.36
EPS: 2.2, Min Samples: 6, Clusters: 9, Silhouette: -0.36
EPS: 2.2, Min Samples: 7, Clusters: 4, Silhouette: -0.25
EPS: 2.2, Min Samples: 8, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 9, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 11, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 12, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 13, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 15, Clusters: 2, Silhouette: 0.09
EPS: 2.2, Min Samples: 16, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 2, Clusters: 180, Silhouette: -0.43
EPS: 2.3, Min Samples: 3, Clusters: 65, Silhouette: -0.43
EPS: 2.3, Min Samples: 4, Clusters: 32, Silhouette: -0.41
EPS: 2.3, Min Samples: 5, Clusters: 18, Silhouette: -0.40
EPS: 2.3, Min Samples: 6, Clusters: 13, Silhouette: -0.38
EPS: 2.3, Min Samples: 7, Clusters: 6, Silhouette: -0.27
EPS: 2.3, Min Samples: 8, Clusters: 3, Silhouette: -0.20
EPS: 2.3, Min Samples: 9, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 11, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 12, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 13, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 15, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 16, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 17, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 18, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 2, Clusters: 188, Silhouette: -0.42
EPS: 2.3, Min Samples: 3, Clusters: 66, Silhouette: -0.42
EPS: 2.3, Min Samples: 4, Clusters: 29, Silhouette: -0.40
EPS: 2.3, Min Samples: 5, Clusters: 22, Silhouette: -0.39
EPS: 2.3, Min Samples: 6, Clusters: 16, Silhouette: -0.39
EPS: 2.3, Min Samples: 7, Clusters: 11, Silhouette: -0.37
EPS: 2.3, Min Samples: 8, Clusters: 6, Silhouette: -0.29
EPS: 2.3, Min Samples: 9, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 10, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 11, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 12, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 13, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 15, Clusters: 2, Silhouette: 0.09
EPS: 2.3, Min Samples: 16, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 17, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 18, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 19, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 20, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 21, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 22, Clusters: 2, Silhouette: 0.08
EPS: 2.3, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 2, Clusters: 181, Silhouette: -0.41
EPS: 2.4, Min Samples: 3, Clusters: 62, Silhouette: -0.42
EPS: 2.4, Min Samples: 4, Clusters: 28, Silhouette: -0.40
EPS: 2.4, Min Samples: 5, Clusters: 20, Silhouette: -0.39
EPS: 2.4, Min Samples: 6, Clusters: 16, Silhouette: -0.38
EPS: 2.4, Min Samples: 7, Clusters: 14, Silhouette: -0.38
EPS: 2.4, Min Samples: 8, Clusters: 9, Silhouette: -0.35
EPS: 2.4, Min Samples: 9, Clusters: 5, Silhouette: -0.27
EPS: 2.4, Min Samples: 10, Clusters: 3, Silhouette: -0.18
EPS: 2.4, Min Samples: 11, Clusters: 3, Silhouette: -0.19
EPS: 2.4, Min Samples: 12, Clusters: 2, Silhouette: 0.09
EPS: 2.4, Min Samples: 13, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 14, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 15, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 16, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 17, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 18, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 19, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 20, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 21, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 22, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 2, Clusters: 185, Silhouette: -0.42
EPS: 2.4, Min Samples: 3, Clusters: 58, Silhouette: -0.43
EPS: 2.4, Min Samples: 4, Clusters: 30, Silhouette: -0.39
EPS: 2.4, Min Samples: 5, Clusters: 17, Silhouette: -0.35
EPS: 2.4, Min Samples: 6, Clusters: 14, Silhouette: -0.35
EPS: 2.4, Min Samples: 7, Clusters: 11, Silhouette: -0.34
EPS: 2.4, Min Samples: 8, Clusters: 13, Silhouette: -0.36
EPS: 2.4, Min Samples: 9, Clusters: 7, Silhouette: -0.35
EPS: 2.4, Min Samples: 10, Clusters: 5, Silhouette: -0.27
EPS: 2.4, Min Samples: 11, Clusters: 5, Silhouette: -0.28
EPS: 2.4, Min Samples: 12, Clusters: 2, Silhouette: 0.09
EPS: 2.4, Min Samples: 13, Clusters: 2, Silhouette: 0.09
EPS: 2.4, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.4, Min Samples: 15, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 16, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 17, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 18, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 19, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 20, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 21, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 22, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 2, Clusters: 168, Silhouette: -0.41
EPS: 2.5, Min Samples: 3, Clusters: 61, Silhouette: -0.42
EPS: 2.5, Min Samples: 4, Clusters: 22, Silhouette: -0.37
EPS: 2.5, Min Samples: 5, Clusters: 19, Silhouette: -0.36
EPS: 2.5, Min Samples: 6, Clusters: 17, Silhouette: -0.35
EPS: 2.5, Min Samples: 7, Clusters: 15, Silhouette: -0.35
EPS: 2.5, Min Samples: 8, Clusters: 13, Silhouette: -0.32
EPS: 2.5, Min Samples: 9, Clusters: 11, Silhouette: -0.35
EPS: 2.5, Min Samples: 10, Clusters: 8, Silhouette: -0.33
EPS: 2.5, Min Samples: 11, Clusters: 6, Silhouette: -0.31
EPS: 2.5, Min Samples: 12, Clusters: 5, Silhouette: -0.31
EPS: 2.5, Min Samples: 13, Clusters: 3, Silhouette: -0.23
EPS: 2.5, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 15, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 16, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 17, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 18, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 19, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 20, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 21, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 22, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 27, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 2, Clusters: 157, Silhouette: -0.41
EPS: 2.5, Min Samples: 3, Clusters: 53, Silhouette: -0.41
EPS: 2.5, Min Samples: 4, Clusters: 18, Silhouette: -0.34
EPS: 2.5, Min Samples: 5, Clusters: 13, Silhouette: -0.32
EPS: 2.5, Min Samples: 6, Clusters: 14, Silhouette: -0.32
