player name,off_cluster
Pierre Oriola,0
Usman Garuba Alari,0
Rolands Smits,0
Nikola Kalinic,0
Adam Hanga,1
Mike Tobey,0
Leandro Bolmaro,2
Nick Calathes,2
Kyle Kuric,2
Klemen Prepelic,2
Ante Tomic,0
Ferran Bassas,2
Sam Van Rossom,2
Rokas Giedraitis,2
Derrick Williams,0
Joel Parra Lopez,1
Pierria Henry,2
Vladimir Brodziansky,0
Alejandro Abrines Redondo,1
Nikola Mirotic,0
Martin Hermannsson,2
Tadas Sedekerskis,0
Simon Birgander,0
Carlos Alocen,2
Jaycee Carroll,1
Stan Okoye,2
Louis Labeyrie,0
Albert Ventura,1
Edy Tavares,0
Zoran Dragic,2
Dino Radoncic,2
Laurynas Beliauskas,2
Rafa Martinez,1
Juan Pablo Vaulet,0
Faggiano,2
Clevin Hannah,2
Andrew Albicy,2
Emanuel Ion Cate,0
Nemanja Radovic,0
Sadiel Rojas,0
Tim Abromaitis,0
TJ Campbell,2
Scott Eatherton,0
Adam Waczynski,1
Viny Okouo,0
Deon Thompson,0
John Shurna,0
Steven Enoch,0
Youssoupha Ndoye,0
Alec Peters,0
Nicholas Kay,0
Achille Polonara,0
Alec Brown,0
Jan Span,2
Ruben Guerrero,0
Aleksa Avramovic,2
Christian Eyenga,0
Seth Hinrichs,0
Leo Meindl,2
Conor Morgan,0
Johnny Dee,2
Jeffery Taylor,1
Bojan Dubljevic,0
Francisco Alonso,2
Tobias Borg,2
Oriol Pauli,2
David Jelinek,2
Sergi Garcia,2
Jake Cohen,0
Victor Arteaga,0
Obi Emegano,2
Brandon Davies,0
Nenad Dimitrijevic,2
James Feldeine,2
Fabien Causeur,2
Yankuba Sima,0
Christopher Czerapowicz,2
Pere Tomas Noguera,1
Alberto Abalde,2
Alvaro Munoz,1
Dario Brizuela,2
Tomas Dimsa,2
Pablo Almazan Sierra,1
Jordan Davis,2
Melo Trimble,2
Angel Delgado,0
Ziga Samar,2
Tonye Frank Jekiri,0
Cory Higgins,2
Pau Ribas,2
Augusto Lima,0
Nemanja Djurisic,0
Guillem Vives,2
Albert Oliver,1
Babatunde Olumuyiwa,0
Kassius Robertson,2
Jeremy Senglin,2
Axel Bouteille,2
Oliver Stevic,0
Javier Beiran,0
Tomas Bellas,2
Nicolas Laprovittola,2
Laurynas Birutis,0
Aleksander Balcerowski,0
Ilimane Diop,0
Fernando San Emeterio,2
John Daniel Roberson Roberson,2
Julen Olaizola,0
Alex Suarez,1
Xabi Oroz,2
Youssoupha Fall,0
Matthew Costello,0
William Magarity,0
Billy Yakuba Ouattara,2
Chema Gonzalez,1
Edgar Vicedo,1
Arturs Kurucs,1
Martynas Sajus,0
Mike Daum,0
Alberto Diaz,2
D.J. Strawberry,2
Adams Sola,1
Frankie Ferrari,2
Rudy Fernandez,1
Sergio Llull,2
Makai Mason,2
Aleksandar Cvetkovic,1
Joan Sastre,2
Xabier Lopez-Arostegui,2
Trey Thompkins,0
Jaime Fernandez Bernabe,2
Luca Vildoza,2
Eulis Baez,0
A.J. Slaughter,2
Bandja Sy,1
Conner Frankamp,2
Marc Garcia,2
Shawn Dawson,1
Daniel Perez,2
Ignacio Llovet Camp,0
Kyle Alexander,0
Nick Spires,0
Guillem Jou,1
Yannick Nzosa,0
Jerome Jerry Randle,2
Jonathan Beye Tabu Eboma,2
Jerome Jordan,0
Peter,1
Gabriel Deck,0
Artem Pustovyi,0
Leo Westermann,1
Pepe Pozas,2
Malik Dime,0
Volodymyr Gerun,0
Haukur Helgi Palsson,2
Michael Kaz Carlson,0
David DiLeo,1
Victor Claver,1
Jose Juan Barea Mora,2
Beka Burjanadze,0
Kwan Cheatham Jr.,0
Jaime Echenique,0
Alessandro Gentile,2
Kartal Ozmizrak,2
Tomasz Gielo,0
Jovan Novak,2
Tyson Perez,0
Pau Gasol,0
Dovydas Giedraitis,1
Matt Janning,2
Brandone Francis,1
Vincent Yann Poirier,0
Siim-Sander Vene,0
Edwin Jackson,2
Isaiah Taylor,2
Lahaou Konate,2
Victor Wembanyama,0
Bandja Sy,0
Matthew Strazel,2
Steeve Ho You Fat,0
Devante Jones,2
Retin Obasohan,2
Jonah Mathews,2
